1|20201212|Coca-cola|3,0|3
2|20201111|Pepsi|3,0|2
3|20200909|Lowenbrau|24,0|5
4|20201212|Argo|2,0|3
5|20201212|Fanta|3,2|1
6|20201111|Fanta|10,62|3
7|20200909|Staropramen|14,0|2
8|20201212|Pepsi|2,0|1
9|20201212|Argo|21,0|3
10|20201212|Fanta|13,0|2
11|20201111|Fanta|7,0|3
12|20200909|Staropramen|4,0|3
13|20201212|Pepsi|7,0|1
14|20201212|Fanta|13,0|2
15|20201111|Fanta|13,0|5
16|20200909|Staropramen|4,0|2
17|20201212|Pepsi|7,0|1
18|20201212|Fanta|31,0|4
19|20201111|Fanta|3,0|2
20|20200909|Staropramen|4,0|2
